"Chinese","Traditional","Pinyin","Definition","Result"
"老","","lǎo ","prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity  / old (of people)  / venerable (person)  / experienced  / of long standing  / always  / all the time  / of the past  / very  / outdated  / (of meat etc) tough","True"
"师","師","Shī <br />shī ","surname Shi<br />teacher  / master  / expert  / model  / army division  / (old) troops  / to dispatch troops","True"
"医","醫","yī ","medical  / medicine  / doctor  / to cure  / to treat","True"
"的","","de <br />dī <br />dí <br />dì ","of  / ~'s (possessive particle)  / (used after an attribute)  / (used to form a nominal expression)  / (used at the end of a declarative sentence for emphasis)<br />see 的士<br />really and truly<br />aim  / clear","True"
"电话","電話","diàn huà ","telephone  / CL: 部 / phone call  / CL: 通 / phone number","True"
"电","電","diàn ","electric  / electricity  / electrical","True"
"话","話","huà ","dialect  / language  / spoken words  / speech  / talk  / words  / conversation  / what sb said  / CL: 種｜种, 席, 句, 口, 番","True"
"号码","號碼","hào mǎ ","number  / CL: 堆, 個｜个","True"
"多少","","duō shǎo <br />duō shao ","number  / amount  / somewhat<br />how much  / how many  / which (number)  / as much as","True"
"多","","duō ","many  / much  / often  / a lot of  / numerous  / more  / in excess  / how (to what extent)  / multi-  / Taiwan pr. [duo2] when it means ""how""","True"
"少","","shǎo <br />shào ","few  / less  / to lack  / to be missing  / to stop (doing sth)  / seldom<br />young","True"
"号","號","háo <br />hào ","roar  / cry  / CL: 個｜个<br />ordinal number  / day of a month  / mark  / sign  / business establishment  / size  / ship suffix  / horn (wind instrument)  / bugle call  / assumed name  / to take a pulse  / classifier used to indicate number of people","True"
"码","碼","mǎ ","weight  / number  / code  / to pile  / to stack  / classifier for length or distance (yard), happenings etc","True"
"中国","中國","Zhōng guó ","China","True"
"人","","rén ","man  / person  / people  / CL: 個｜个, 位","True"
"中","","Zhōng <br />zhōng <br />zhòng ","China  / Chinese  / surname Zhong<br />within  / among  / in  / middle  / center  / while (doing sth)  / during  / (dialect) OK  / all right<br />to hit (the mark)  / to be hit by  / to suffer  / to win (a prize, a lottery)","True"
"国","國","Guó <br />guó ","surname Guo<br />country  / nation  / state  / national  / CL: 個｜个","True"
"哪","","nǎ <br />na <br />něi ","how  / which<br />(particle equivalent to 啊 after noun ending in -n)<br />which? (interrogative, followed by classifier or numeral-classifier)","True"
"英国","英國","Yīng guó ","United Kingdom 聯合王國｜联合王国 / United Kingdom of Great Britain and Northern Ireland  / abbr. for England 英格蘭｜英格兰","True"
"美国","美國","Měi guó ","United States  / USA  / US","True"
"英","","Yīng <br />yīng ","United Kingdom  / British  / England  / English  / abbr. for 英國｜英国<br />hero  / outstanding  / excellent  / (literary) flower  / blossom","True"
"美","","Měi <br />měi ","the Americas  / abbr. for 美洲 / USA  / abbr. for 美國｜美国<br />beautiful  / very satisfactory  / good  / to beautify  / to be pleased with oneself","True"
"都","","Dū <br />dōu <br />dū ","surname Du<br />all  / both  / entirely  / (used for emphasis) even  / already  / (not) at all<br />capital city  / metropolis","True"
"对","對","duì ","right  / correct  / couple  / pair  / towards  / at  / for  / to face  / opposite  / to treat (sb a certain way)  / to match together  / to adjust  / to fit  / to suit  / to answer  / to reply  / classifier: couple","True"
"加拿大","","Jiā ná dà ","Canada  / Canadian","True"
"加","","Jiā <br />jiā ","abbr. for Canada 加拿大 / surname Jia<br />to add  / plus  / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)  / to apply (restrictions etc) to (sb)  / to give (support, consideration etc) to (sth)","True"
"拿","","ná ","to hold  / to seize  / to catch  / to apprehend  / to take  / (used in the same way as 把: to mark the following noun as a direct object)","True"
"大","","dà <br />dài ","big  / huge  / large  / major  / great  / wide  / deep  / older (than)  / oldest  / eldest  / greatly  / very much  / (dialect) father  / father's elder or younger brother<br />see 大夫","True"
"忙","","máng ","busy  / hurriedly  / to hurry  / to rush","True"
"早上","","zǎo shang ","early morning  / CL: 個｜个","True"
"早","","zǎo ","early  / morning  / Good morning!  / long ago  / prematurely","True"
"上","","shǎng <br />shàng ","see 上聲｜上声<br />on top  / upon  / above  / upper  / previous  / first (of multiple parts)  / to climb  / to get onto  / to go up  / to attend (class or university)","True"
"怎么样","怎麼樣","zěn me yàng ","how?  / how about?  / how was it?  / how are things?","True"
"今天","","jīn tiān ","today  / at the present  / now","True"
"怎","","zěn ","how","True"
"样","樣","yàng ","manner  / pattern  / way  / appearance  / shape  / classifier: kind, type","True"
"今","","jīn ","today  / modern  / present  / current  / this  / now","True"
"天","","tiān ","day  / sky  / heaven","True"
"家","傢","jiā <br />Jiā <br />jiā ","see 傢伙｜家伙<br />surname Jia<br />home  / family  / (polite) my (sister, uncle etc)  / classifier for families or businesses  / refers to the philosophical schools of pre-Han China  / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian  / CL: 個｜个","True"
"北京","","Běi jīng ","Beijing, capital of People's Republic of China  / Peking  / PRC government","True"
"在","","zài ","(located) at  / (to be) in  / to exist  / in the middle of doing sth  / (indicating an action in progress)","True"
"北","","běi ","north  / to be defeated (classical)","True"
"京","","Jīng <br />jīng ","abbr. for Beijing  / surname Jing  / Jing ethnic minority<br />capital city of a country  / big  / algebraic term for a large number (old)  / artificial mound (old)","True"
"哪儿","哪兒","nǎr ","where?  / wherever  / anywhere","True"
"纽约","紐約","Niǔ yuē ","New York","True"
"香港","","Xiāng gǎng ","Hong Kong","True"
"儿","兒","ér <br />r ","child  / son<br />non-syllabic diminutive suffix  / retroflex final","True"
"纽","紐","niǔ ","to turn  / to wrench  / button  / nu (Greek letter Νν)","True"
"约","約","yāo <br />yuē ","to weigh in a balance or on a scale<br />to make an appointment  / to invite  / approximately  / pact  / treaty  / to economize  / to restrict  / to reduce (a fraction)  / concise","True"
"香","","xiāng ","fragrant  / sweet smelling  / aromatic  / savory or appetizing  / (to eat) with relish  / (of sleep) sound  / perfume or spice  / joss or incense stick  / CL: 根","True"
"港","","Gǎng <br />gǎng ","Hong Kong, abbr. for 香港 / surname Gang<br />harbor  / port  / CL: 個｜个","True"
"住","","zhù ","to live  / to dwell  / to stay  / to reside  / to stop  / (suffix indicating firmness, steadiness, or coming to a halt)","True"
"伦敦","倫敦","Lún dūn ","London, capital of United Kingdom","True"
"台湾","臺灣","Tái wān ","Taiwan","True"
"伦","倫","lún ","human relationship  / order  / coherence","True"
"敦","","dūn ","kindhearted  / place name","True"
"台","","Tái <br />tái <br />tái <br />Tái <br />tái <br />tái ","Taiwan (abbr.)  / surname Tai<br />(classical) you (in letters)  / variant of 臺｜台<br />desk  / table  / counter<br />Taiwan (abbr.)<br />platform  / stage  / terrace  / stand  / support  / station  / broadcasting station  / classifier for vehicles or machines<br />typhoon","True"
"湾","灣","wān ","bay  / gulf  / to cast anchor  / to moor (a boat)","True"
"谢谢","謝謝","xiè xie ","to thank  / thanks  / thank you","True"
"不客气","不客氣","bù kè qi ","you're welcome  / don't mention it  / impolite  / rude  / blunt","True"
"谢","謝","Xiè <br />xiè ","surname Xie<br />to thank  / to apologize  / to wither (of flowers, leaves etc)  / to decline","True"
"客","","kè ","customer  / visitor  / guest","True"
"气","氣","qì ","gas  / air  / smell  / weather  / to make angry  / to annoy  / to get angry  / vital energy  / qi","True"
"对不起","對不起","duì bu qǐ ","unworthy  / to let down  / I'm sorry  / excuse me  / pardon me  / if you please  / sorry? (please repeat)","True"
"没关系","沒關係","méi guān xi ","it doesn't matter","True"
"起","","qǐ ","to rise  / to raise  / to get up  / to set out  / to start  / to appear  / to launch  / to initiate (action)  / to draft  / to establish  / to get (from a depot or counter)  / verb suffix, to start  / starting from (a time, place, price etc)  / classifier for occurrences or unpredictable events: case, instance  / classifier for groups: batch, group","True"
"没","沒","méi <br />mò ","(negative prefix for verbs)  / have not  / not<br />drowned  / to end  / to die  / to inundate","True"
"关","關","Guān <br />guān ","surname Guan<br />mountain pass  / to close  / to shut  / to turn off  / to concern  / to involve","True"
"系","係","xì <br />xì <br />jì <br />xì ","to connect  / to relate to  / to tie up  / to bind  / to be (literary)<br />system  / department  / faculty<br />to tie  / to fasten  / to button up<br />to connect  / to arrest  / to worry","True"
"爸爸","","bà ba ","(informal) father  / CL: 個｜个, 位","True"
"妈妈","媽媽","mā ma ","mama  / mommy  / mother  / CL: 個｜个, 位","True"
"爱","愛","ài ","to love  / to be fond of  / to like  / affection  / to be inclined (to do sth)  / to tend to (happen)","True"
"家人","","jiā rén ","household  / (one's) family","True"
"爸","","bà ","father  / dad  / pa  / papa","True"
"妈","媽","mā ","ma  / mom  / mother","True"
"谁","誰","shéi ","who  / also pr. [shui2]","True"
"那","","Nā <br />Nuó <br />nà <br />nuó ","surname Na<br />surname Nuo<br />that  / those  / then (in that case)  / commonly pr. [nei4] before a classifier, esp. in Beijing<br />(archaic) many  / beautiful  / how  / old variant of 挪","True"
"个","個","gè ","individual  / this  / that  / size  / classifier for people or objects in general","True"
"这","這","zhè ","this  / these  / (commonly pr. [zhei4] before a classifier, esp. in Beijing)","True"
"哥哥","","gē ge ","older brother  / CL: 個｜个, 位","True"
"姐姐","","jiě jie ","older sister  / CL: 個｜个","True"
"有","","yǒu ","to have  / there is  / there are  / to exist  / to be","True"
"哥","","gē ","elder brother","True"
"姐","","jiě ","older sister","True"
"弟弟","","dì di ","younger brother  / CL: 個｜个, 位","True"
"和","","Hé <br />hé <br />hè <br />hú <br />huó <br />huò ","surname He  / Japanese (food, clothes etc)<br />and  / together with  / with  / sum  / union  / peace  / harmony  / Taiwan pr. [han4] when it means ""and"" or ""with""<br />to compose a poem in reply (to sb's poem) using the same rhyme sequence  / to join in the singing  / to chime in with others<br />to complete a set in mahjong or playing cards<br />to combine a powdery substance (flour, plaster etc) with water  / Taiwan pr. [huo4]<br />to mix (ingredients) together  / to blend  / classifier for rinses of clothes  / classifier for boilings of medicinal herbs","True"
"妹妹","","mèi mei ","younger sister  / young woman  / CL: 個｜个","True"
"弟","","dì ","younger brother  / junior male  / I (modest word in letter)","True"
"妹","","mèi ","younger sister","True"
"请问","請問","qǐng wèn ","Excuse me, may I ask...?","True"
"知道","","zhī dào ","to know  / to become aware of  / also pr. [zhi1 dao5]","True"
"问","問","wèn ","to ask","True"
"请","請","qǐng ","to ask  / to invite  / please (do sth)  / to treat (to a meal etc)  / to request","True"
"知","","zhī ","to know  / to be aware","True"
"道","","dào ","road  / path  / CL: 條｜条, 股 / principle  / truth  / morality  / reason  / skill  / method  / Dao (of Daoism)  / to say  / to speak  / to talk  / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process  / (old) administrative division (similar to province in Tang times)","True"
"说","說","shuì <br />shuō ","to persuade<br />to speak  / to say  / to explain  / to scold  / to tell off  / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory)","True"
"英语","英語","Yīng yǔ ","English (language)","True"
"汉语","漢語","Hàn yǔ ","Chinese language  / CL: 門｜门","True"
"汉","漢","Hàn <br />hàn ","Han ethnic group  / Chinese (language)  / the Han dynasty (206 BC-220 AD)<br />man","True"
"语","語","yǔ <br />yù ","dialect  / language  / speech<br />to tell to","True"
"帮助","幫助","bāng zhù ","assistance  / aid  / to help  / to assist","True"
"次","","cì ","next in sequence  / second  / the second (day, time etc)  / secondary  / vice-  / sub-  / infra-  / inferior quality  / substandard  / order  / sequence  / hypo- (chemistry)  / classifier for enumerated events: time","True"
"帮","幫","bāng ","to help  / to assist  / to support  / for sb (i.e. as a help)  / hired (as worker)  / side (of pail, boat etc)  / outer layer  / upper (of a shoe)  / group  / gang  / clique  / party  / secret society","True"
"助","","zhù ","to help  / to assist","True"
"早安","","zǎo ān ","Good morning!","True"
"晚安","","wǎn ān ","Good night!  / Good evening!","True"
"一会儿","一會兒","yī huìr ","a moment  / a while  / in a moment  / now...now...  / also pr. [yi1 hui3 r5]","True"
"会","會","huì <br />kuài ","can  / to be possible  / to be able to  / will  / to be likely to  / to be sure to  / to assemble  / to meet  / to gather  / to see  / union  / group  / association  / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])<br />to balance an account  / accountancy  / accounting","True"
"安","","Ān <br />ān ","surname An<br />content  / calm  / still  / quiet  / safe  / secure  / in good health  / to find a place for  / to install  / to fix  / to fit  / to bring (a charge against sb)  / to pacify  / to harbor (good intentions)  / security  / safety  / peace  / ampere","True"
"最近","","zuì jìn ","recent  / recently  / these days  / latest  / soon  / nearest (of locations)  / shortest (of routes)","True"
"好久不见","好久不見","hǎo jiǔ bu jiàn ","long time no see","True"
"不错","不錯","bù cuò ","correct  / right  / not bad  / pretty good","True"
"最","","zuì ","most  / the most  / -est (superlative suffix)","True"
"近","","jìn ","near  / close to  / approximately","True"
"久","","jiǔ ","(long) time  / (long) duration of time","True"
"错","錯","Cuò <br />cuò ","surname Cuo<br />mistake  / wrong  / bad  / interlocking  / complex  / to grind  / to polish  / to alternate  / to stagger  / to miss  / to let slip  / to evade  / to inlay with gold or silver","True"
"要","","yāo <br />yào ","to demand  / to request  / to coerce<br />important  / vital  / to want  / to ask for  / will  / going to (as future auxiliary)  / may  / must  / (used in a comparison) must be  / probably  / if","True"
"热","熱","rè ","to warm up  / to heat up  / hot (of weather)  / heat  / fervent","True"
"冰","","bīng ","ice  / CL: 塊｜块 / to chill sth  / (of an object or substance) to feel cold  / (of a person) cold  / unfriendly  / (slang) methamphetamine","True"
"牛奶","","niú nǎi ","cow's milk  / CL: 瓶, 杯","True"
"咖啡","","kā fēi ","coffee (loanword)  / CL: 杯","True"
"牛","","Niú <br />niú ","surname Niu<br />ox  / cow  / bull  / CL: 條｜条, 頭｜头 / (slang) awesome","True"
"奶","","nǎi <br />nǎi ","breast  / milk  / to breastfeed<br />mother  / variant of 奶","True"
"咖","","kā ","coffee  / class  / grade","True"
"啡","","fēi ","(phonetic component)","True"
"洗手间","洗手間","xǐ shǒu jiān ","toilet  / lavatory  / washroom","True"
"医院","醫院","yī yuàn ","hospital  / CL: 所, 家, 座","True"
"洗","","xǐ ","to wash  / to bathe  / to develop (photo)","True"
"手","","shǒu ","hand  / (formal) to hold  / person engaged in certain types of work  / person skilled in certain types of work  / personal(ly)  / convenient  / classifier for skill  / CL: 雙｜双, 隻｜只","True"
"间","間","jiān <br />jiàn ","between  / among  / within a definite time or space  / room  / section of a room or lateral space between two pairs of pillars  / classifier for rooms<br />gap  / to separate  / to thin out (seedlings)  / to sow discontent","True"
"院","","yuàn ","courtyard  / institution  / CL: 個｜个","True"
"这儿","這兒","zhèr ","here","True"
"那儿","那兒","nàr ","there","True"
"饭馆","飯館","fàn guǎn ","restaurant  / CL: 家","True"
"馆","館","guǎn ","building  / shop  / term for certain service establishments  / embassy or consulate  / schoolroom (old)  / CL: 家","True"
"年","","Nián <br />nián <br />nián ","surname Nian<br />year  / CL: 個｜个<br />grain  / harvest (old)  / variant of 年","True"
"月","","yuè ","moon  / month  / monthly  / CL: 個｜个, 輪｜轮","True"
"几","","jī <br />jī <br />jǐ ","small table<br />almost<br />how much  / how many  / several  / a few","True"
"〇","","líng ","zero","True"
"星期","","xīng qī ","week  / CL: 個｜个 / day of the week  / Sunday","True"
"明天","","míng tiān ","tomorrow","True"
"日","","Rì <br />rì ","abbr. for 日本, Japan<br />sun  / day  / date, day of the month","True"
"星","","xīng ","star  / heavenly body  / satellite  / small amount","True"
"期","","qī ","a period of time  / phase  / stage  / classifier for issues of a periodical, courses of study  / time  / term  / period  / to hope  / Taiwan pr. [qi2]","True"
"点","點","diǎn ","point  / dot  / drop  / speck  / o'clock  / point (in space or time)  / to draw a dot  / to check on a list  / to choose  / to order (food in a restaurant)  / to touch briefly  / to hint  / to light  / to ignite  / to pour a liquid drop by drop  / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters  / classifier for items","True"
"现在","現在","xiàn zài ","now  / at present  / at the moment  / modern  / current  / nowadays","True"
"半","","bàn ","half  / semi-  / incomplete  / (after a number) and a half","True"
"现","現","xiàn ","to appear  / present  / now  / existing  / current","True"
"孩子","","hái zi ","child","True"
"两","兩","liǎng ","two  / both  / some  / a few  / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)","True"
"孩","","hái ","child","True"
"子","","zǐ <br />zi ","son  / child  / seed  / egg  / small thing  / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat  / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north)<br />(noun suffix)","True"
"女儿","女兒","nǚ ér ","daughter","True"
"儿子","兒子","ér zi ","son","True"
"岁","歲","suì ","classifier for years (of age)  / year  / year (of crop harvests)","True"
"女","","nǚ ","female  / woman  / daughter","True"
"妻子","","qī zǐ <br />qī zi ","wife and children<br />wife  / CL: 個｜个","True"
"丈夫","","zhàng fu ","husband  / CL: 個｜个","True"
"妻","","qī <br />qì ","wife<br />to marry off (a daughter)","True"
"丈","","zhàng ","measure of length, ten Chinese feet (3.3 m)  / to measure  / husband  / polite appellation for an older male","True"
"夫","","fū <br />fú ","husband  / man  / manual worker  / conscripted laborer (old)<br />(classical) this, that  / he, she, they  / (exclamatory final particle)  / (initial particle, introduces an opinion)","True"
"猫","貓","māo ","cat  / CL: 隻｜只 / (dialect) to hide oneself  / (coll.) modem","True"
"它","","tā ","it","True"
"狗","","gǒu ","dog  / CL: 隻｜只, 條｜条","True"
"喂","","wéi <br />wèi <br />wèi ","hello (when answering the phone)<br />hey  / to feed (an animal, baby, invalid etc)<br />to feed","True"
"慢","","màn ","slow","True"
"一点儿","","yī diǎnr ","erhua variant of 一點｜一点 ","False"
"快","","kuài ","rapid  / quick  / speed  / rate  / soon  / almost  / to make haste  / clever  / sharp (of knives or wits)  / forthright  / plainspoken  / gratified  / pleased  / pleasant","True"
"得","","dé <br />de <br />děi ","to obtain  / to get  / to gain  / to catch (a disease)  / proper  / suitable  / proud  / contented  / to allow  / to permit  / ready  / finished<br />structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc<br />to have to  / must  / ought to  / to need to","True"
"明白","","míng bai ","clear  / obvious  / unequivocal  / to understand  / to realize","True"
"白","","Bái <br />bái ","surname Bai<br />white  / snowy  / pure  / bright  / empty  / blank  / plain  / clear  / to make clear  / in vain  / gratuitous  / free of charge  / reactionary  / anti-communist  / funeral  / to stare coldly  / to write wrong character  / to state  / to explain  / vernacular  / spoken lines in opera","True"
"漂亮","","piào liang ","pretty  / beautiful","True"
"漂","","piāo <br />piǎo <br />piào ","to float  / to drift<br />to bleach<br />elegant  / polished","True"
"亮","","liàng ","bright  / clear  / resonant  / to shine  / to show  / to reveal","True"
"朋友","","péng you ","friend  / CL: 個｜个, 位","True"
"男","","nán ","male  / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个","True"
"矮","","ǎi ","low  / short (in length)","True"
"朋","","péng ","friend","True"
"友","","yǒu ","friend","True"
"可爱","可愛","kě ài ","adorable  / cute  / lovely","True"
"非常","","fēi cháng ","very  / very much  / unusual  / extraordinary","True"
"可","","kě <br />kè ","can  / may  / able to  / to approve  / to permit  / to suit  / (particle used for emphasis) certainly  / very<br />see 可汗","True"
"非","","Fēi <br />fēi ","abbr. for 非洲, Africa<br />to not be  / not  / wrong  / incorrect  / non-  / un-  / in-  / to reproach or blame  / (colloquial) to insist on  / simply must","True"
"常","","Cháng <br />cháng ","surname Chang<br />always  / ever  / often  / frequently  / common  / general  / constant","True"
"上午","","shàng wǔ ","morning  / CL: 個｜个","True"
"分","","fēn <br />fèn ","to divide  / to separate  / to distribute  / to allocate  / to distinguish (good and bad)  / part or subdivision  / fraction  / one tenth (of certain units)  / unit of length equivalent to 0.33 cm  / minute (unit of time)  / minute (angular measurement unit)  / a point (in sports or games)  / 0.01 yuan (unit of money)<br />part  / share  / ingredient  / component","True"
"下午","","xià wǔ ","afternoon  / CL: 個｜个 / p.m.","True"
"晚上","","wǎn shang ","evening  / night  / CL: 個｜个 / in the evening","True"
"午","","wǔ ","7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse  / ancient Chinese compass point: 180° (south)","True"
"晚","","wǎn ","evening  / night  / late","True"
"下","","xià ","down  / downwards  / below  / lower  / later  / next (week etc)  / second (of two parts)  / to decline  / to go down  / to arrive at (a decision, conclusion etc)  / measure word to show the frequency of an action","True"
"每","","měi ","each  / every","True"
"中午","","zhōng wǔ ","noon  / midday  / CL: 個｜个","True"
"周末","週末","zhōu mò ","weekend","True"
"周","","Zhōu <br />zhōu <br />zhōu ","surname Zhou  / Zhou Dynasty (1046-256 BC)<br />to make a circuit  / to circle  / circle  / circumference  / lap  / cycle  / complete  / all  / all over  / thorough  / to help financially<br />week  / weekly  / variant of 周","True"
"末","","mò ","tip  / end  / final stage  / latter part  / inessential detail  / powder  / dust  / opera role of old man","True"
"昨天","","zuó tiān ","yesterday","True"
"了","","le <br />liǎo <br />liǎo ","(modal particle intensifying preceding clause)  / (completed action marker)<br />to finish  / to achieve  / variant of 瞭｜了 / to understand clearly<br />(of eyes) bright  / clear-sighted  / to understand clearly","True"
